Layer-Head ID,pre,Layer-Head ID,recall,Layer-Head ID,inf
27-22,0.1188392743,6-25,0.98773816,3-6,0.1928183866
3-19,0.1160158184,25-29,0.9875373399,22-8,0.1923962824
16-0,0.1139341018,25-21,0.9872381542,3-11,0.1917815223
24-25,0.1134463368,2-5,0.9869470219,24-25,0.1900489937
3-9,0.1133410928,7-2,0.9867318631,3-31,0.1886768122
4-0,0.1117145487,6-5,0.9867149389,4-19,0.1886222226
24-26,0.1100962506,0-19,0.9866131569,3-7,0.1883153653
3-6,0.1073684445,0-18,0.9862853335,4-28,0.1882618854
3-11,0.1070319346,25-25,0.9859856448,24-26,0.1879661177
4-19,0.1059497882,3-14,0.9859314354,3-5,0.18685592
3-31,0.1047678761,7-27,0.9855901533,3-2,0.1856669653
3-7,0.1046737419,6-17,0.9854638208,3-29,0.1848633493
4-28,0.1044737938,19-28,0.9852435021,3-10,0.1835110259
3-5,0.103723385,3-2,0.9851239061,3-16,0.1819192913
23-5,0.1036149413,6-2,0.9840859312,20-1,0.1811454102
19-13,0.1029464487,24-9,0.9840222683,3-8,0.1790648554
3-2,0.1028528218,2-20,0.9838808012,4-29,0.1772849025
3-29,0.1027654533,19-31,0.9837132989,14-30,0.1768274447
3-10,0.101609976,5-12,0.9830970236,23-5,0.1766981863
3-16,0.1009879483,24-8,0.9827150338,16-0,0.1715614231
19-14,0.0992142356,4-10,0.9824593537,3-4,0.1712866245
3-8,0.09891734997,4-6,0.9821317437,28-13,0.1711540623
4-29,0.09804797613,5-19,0.9821153055,4-21,0.1708918259
13-4,0.09715439764,5-1,0.9818414007,5-21,0.1694509589
28-13,0.09631254098,19-26,0.9817979876,4-2,0.1680954706
20-25,0.09616445172,5-2,0.9812395375,4-1,0.167375573
3-4,0.09448970966,0-17,0.9808764172,3-28,0.1668962592
4-21,0.09445997758,4-0,0.9804260036,3-17,0.1662434704
5-21,0.09368120272,19-30,0.9800477435,18-22,0.1657180056
26-0,0.09350302774,24-6,0.9796525939,26-0,0.1645131716
4-2,0.09323566469,5-24,0.9791528822,3-30,0.1620137732
26-15,0.09282497634,0-4,0.9788470286,4-10,0.160360187
4-1,0.09235175969,4-16,0.9786112602,3-18,0.1584546835
3-28,0.09149017951,6-26,0.9785742991,26-15,0.1572861919
3-17,0.09144789698,15-31,0.9783946055,19-13,0.1570127848
18-8,0.09075634287,4-15,0.9782363043,0-12,0.1567551779
0-12,0.08916486608,3-9,0.9780732686,20-25,0.1549550262
27-6,0.08889737256,5-20,0.9779070888,13-4,0.1543517937
3-30,0.08855930806,31-23,0.9778205511,19-14,0.1537981741
17-25,0.0884933641,6-27,0.9772925271,25-13,0.1526685224
24-27,0.08845915349,21-17,0.9768634715,4-20,0.1514163199
29-10,0.08834936563,6-3,0.9767530911,4-16,0.150329025
4-10,0.08782083127,4-29,0.9766499269,24-27,0.1495545237
20-26,0.08744083047,27-2,0.9761008141,4-23,0.1494819339
13-17,0.08729657437,27-3,0.9758570717,27-6,0.1494729314
3-18,0.08672659437,24-10,0.9758440579,4-3,0.1489825591
25-13,0.08634664459,2-14,0.9752091796,29-10,0.148923732
13-6,0.08615844866,2-6,0.9745223779,4-8,0.1457321275
