Layer-Head ID,pre,Layer-Head ID,recall,Layer-Head ID,inf
11-21,0.03002925966,24-28,0.6593405984,10-3,0.05723146859
6-11,0.03000485679,23-0,0.659052037,19-16,0.05717013304
19-16,0.02985930769,24-2,0.658964707,8-7,0.0571544722
9-15,0.02974890683,10-11,0.6588766078,23-1,0.05663187642
13-12,0.02967498455,29-0,0.6563779203,17-9,0.05631650073
23-1,0.02955778443,28-3,0.6563445721,19-18,0.05615086355
17-9,0.02949798418,9-11,0.6562944275,9-15,0.05607033057
27-19,0.02944403422,12-17,0.6553303642,27-19,0.05603398019
19-18,0.02942150097,23-16,0.6541994679,14-18,0.05582194785
14-18,0.02935861697,31-9,0.6537591732,18-4,0.05527391365
18-10,0.02908189468,14-15,0.6536981503,9-19,0.05523318934
9-19,0.02906129559,0-12,0.6530296701,24-11,0.05507685188
18-4,0.02891149813,7-29,0.6527587026,25-26,0.05494527806
21-1,0.02881629442,14-31,0.6519937246,18-10,0.05486236305
22-10,0.02873324901,16-14,0.6519243624,23-23,0.05446895424
24-11,0.02868087698,16-12,0.6518428935,9-25,0.0542298824
25-26,0.02866680408,30-8,0.6513033124,16-20,0.05404201665
23-23,0.02854571617,25-0,0.6507991594,21-1,0.05384734313
18-2,0.0285232513,30-31,0.6507820541,6-19,0.05377293744
8-30,0.02842744093,7-31,0.6502539002,19-25,0.05358666712
16-20,0.02825629236,20-10,0.6488102971,8-30,0.05352090168
9-25,0.02822352844,21-24,0.6486899885,8-1,0.05345512451
21-3,0.02808634513,24-26,0.6481975152,9-16,0.0533960716
16-9,0.02792519242,31-2,0.6474982202,19-1,0.05326500504
19-25,0.02789571135,23-24,0.6464792164,19-21,0.05326470662
18-27,0.02788497861,16-13,0.6464595356,21-3,0.05311663948
6-19,0.02784057007,17-22,0.6464113649,7-0,0.05310708334
19-1,0.02783356926,8-28,0.6460254329,6-9,0.05309081816
17-19,0.02779381639,16-15,0.6450654964,16-9,0.05304981864
24-2,0.02779012313,14-26,0.6446443988,18-2,0.0529116768
8-1,0.0277738098,16-9,0.6431287293,18-1,0.05286855711
9-16,0.02773821088,14-17,0.6425901127,22-10,0.05281836775
19-21,0.02762642126,28-19,0.6423757523,24-2,0.05274801025
6-9,0.02758444788,21-27,0.6414873999,18-27,0.05273610622
11-1,0.02757749314,18-4,0.6413174683,22-20,0.05271605335
24-20,0.02756279147,20-11,0.6397329132,28-2,0.05267424471
18-1,0.02754100942,31-4,0.6393603934,17-19,0.05259981136
28-2,0.02753272003,10-21,0.6393190446,19-29,0.05217553296
22-20,0.02752303798,23-13,0.6385933957,19-30,0.05216035291
7-0,0.02746728772,25-10,0.6379960745,19-22,0.05206344274
8-28,0.02711568958,27-10,0.6373123102,8-28,0.05173557144
19-29,0.02703612851,23-9,0.6362362678,13-12,0.05150325537
30-14,0.02697871109,9-19,0.6360995104,11-1,0.05112192478
19-30,0.02697662287,17-10,0.6359659421,18-6,0.05111247405
30-30,0.02696328428,8-26,0.634376028,20-22,0.0510774247
8-24,0.02691632905,29-10,0.6322900817,21-21,0.05102550443
19-22,0.02688458487,16-20,0.6315239186,8-24,0.05097738154
26-14,0.02680715138,31-3,0.6306430335,12-22,0.05094244872
12-22,0.02673475086,7-30,0.628675807,24-20,0.05093933449
21-21,0.02663839309,24-22,0.6278397375,30-14,0.05054645631
18-6,0.02662241096,29-4,0.627416316,26-4,0.05024550995
20-30,0.02643987647,16-11,0.6272529587,26-14,0.05017896013
20-22,0.02638401567,26-11,0.6270583581,18-17,0.05016855209
26-4,0.02625148533,9-23,0.6268058974,21-29,0.05012040918
21-29,0.0262309611,26-24,0.6260341956,18-21,0.05010382594
18-21,0.02623064312,12-22,0.62492163,25-3,0.05004818927
25-3,0.02618615298,29-1,0.6238814506,30-30,0.04930066682
18-17,0.02611572792,17-20,0.6227063696,20-30,0.04901509038
12-7,0.02574427228,23-7,0.621647381,18-31,0.04881314349
5-15,0.0255767279,26-2,0.61860991,24-14,0.04878460166
18-31,0.02538639561,21-29,0.6175417201,5-15,0.04851371738
24-14,0.02532100134,21-22,0.6172871479,12-7,0.04849049057
8-15,0.02522823533,29-14,0.6171475052,19-24,0.0483551796
6-14,0.02518694803,0-27,0.617000189,23-15,0.04786116554
19-24,0.02505041954,29-5,0.6164480309,25-21,0.04783846445
25-21,0.02500527562,15-19,0.6159430953,6-14,0.04781271762
23-15,0.02486450309,18-29,0.6134114507,8-15,0.04776976336
28-19,0.02474768185,16-1,0.613337354,22-22,0.04731653714
22-22,0.02468186148,15-13,0.6129776483,28-19,0.04728161046
8-6,0.02465504052,28-28,0.6124142935,24-9,0.04714870183
21-28,0.02445901768,28-27,0.6097176324,10-4,0.04692030257
18-12,0.02444168699,5-5,0.6074793797,21-28,0.04691059112
24-9,0.02442969204,28-31,0.6069909266,7-27,0.04676858137
10-4,0.02430616001,0-2,0.6063669289,8-6,0.04671645249
21-12,0.02425888983,26-6,0.6059956785,24-4,0.04668190419
28-16,0.0242557173,28-16,0.6057082839,6-16,0.04656923542
24-4,0.02421887799,8-14,0.6056504491,18-12,0.04652548327
7-27,0.02411076709,9-13,0.6037960506,28-16,0.04626736632
15-20,0.02410836823,21-30,0.6021268374,5-29,0.0462000819
13-27,0.02410439474,27-20,0.6004749833,5-14,0.04613292621
5-29,0.02407340314,25-15,0.6003838345,13-27,0.04607180966
6-16,0.02399877266,18-10,0.5985820937,6-10,0.04576893806
28-20,0.02392912488,26-1,0.5953220345,24-8,0.04539731849
25-12,0.02382127776,13-27,0.5941508039,19-17,0.04526674639
5-14,0.02375008652,11-4,0.5932105186,19-12,0.04526371707
17-12,0.02372838083,27-23,0.5921797969,24-10,0.0451480142
6-10,0.02366332429,13-26,0.591988447,17-12,0.04507781031
19-12,0.02364928907,17-29,0.5902409376,18-5,0.0448892269
11-14,0.02354383172,26-8,0.5897888349,25-12,0.04479995576
27-16,0.02353251099,18-12,0.5897073852,29-17,0.04469263356
10-8,0.02353163786,14-18,0.5892371454,17-15,0.04457164348
24-8,0.02351001687,20-16,0.588550516,21-12,0.04451156757
19-17,0.02345491472,30-27,0.5882271227,10-8,0.04448986233
24-10,0.02332827995,26-16,0.5864238987,4-12,0.04432189602
17-15,0.02332236687,20-13,0.5861099085,7-13,0.04428147195
18-5,0.02324328558,26-22,0.5859758548,11-14,0.04427659247
30-2,0.02322805193,26-26,0.5825835407,28-20,0.04423809355
7-13,0.02320393143,26-5,0.5822657817,10-21,0.04416300234
29-17,0.0231775428,23-8,0.5820065597,24-30,0.0441484711
10-21,0.02301886934,22-12,0.5817012089,27-16,0.04405044295
24-30,0.02290924483,27-31,0.5785300488,20-19,0.04394526184
12-10,0.02285860652,21-0,0.5747179322,15-20,0.04389947226
21-0,0.02278888582,17-19,0.5741088952,20-17,0.04381267744
4-12,0.0227851266,9-15,0.5715038173,21-0,0.04373426154
24-3,0.02274470459,26-31,0.5714785466,24-3,0.04311914015
20-19,0.02272754551,30-11,0.5704658615,6-18,0.04307863879
22-27,0.02266443093,11-7,0.5662433399,18-13,0.04302152032
20-17,0.02265088844,9-5,0.5653786531,10-2,0.04276923022
8-5,0.02233266375,23-6,0.5649305826,30-2,0.0425903197
15-27,0.02232775481,27-30,0.5635836114,16-15,0.04257264304
18-13,0.0223204178,20-2,0.5635480741,8-5,0.04256221519
31-2,0.02218885221,19-0,0.5612713516,31-2,0.04254841755
16-15,0.02218089587,14-20,0.5595231754,17-10,0.04248782062
17-10,0.0221719207,18-27,0.5592408743,12-10,0.04238371048
10-2,0.02215175286,24-23,0.5573773785,15-27,0.04234575193
6-18,0.02213623056,30-24,0.5569467283,17-0,0.04194730299
17-0,0.02191962031,28-15,0.5554925593,6-12,0.0419281446
9-22,0.02180008976,17-26,0.5554652443,9-22,0.04166943297
14-29,0.02177662049,22-14,0.5531729569,17-11,0.04140576803
10-29,0.02174508199,13-18,0.550126924,16-14,0.04131347466
6-12,0.02173070466,23-12,0.5486369649,22-27,0.0411958559
17-11,0.02155215181,12-1,0.5469401895,10-29,0.0411805753
16-14,0.02149886597,26-15,0.5467793633,8-4,0.04099307756
8-4,0.02148271641,25-16,0.5450109238,18-15,0.04098428804
8-8,0.0213988859,30-7,0.5382318486,7-4,0.04078527048
29-11,0.02138190811,20-25,0.5381050359,22-4,0.04064391577
30-21,0.02136452922,29-2,0.5354289747,8-8,0.04054072825
7-4,0.02130614606,21-26,0.5332843739,8-16,0.04041405061
18-15,0.02130185607,18-30,0.5330698603,5-13,0.04031411954
8-16,0.0212967987,24-27,0.5329076371,21-5,0.04028946904
22-4,0.02129053963,17-15,0.527819726,30-21,0.04014818638
21-5,0.02100896815,18-20,0.5256391152,28-6,0.0400892584
22-6,0.02096966843,30-12,0.5241658578,22-6,0.03998176829
20-31,0.02090859488,20-9,0.5228673126,29-11,0.03996837999
28-6,0.02070817887,20-1,0.5227575646,20-31,0.03970305019
5-13,0.0206230509,0-8,0.5226345366,14-29,0.03961197565
20-27,0.02052020495,22-0,0.521140344,27-12,0.03923756903
25-16,0.02041770557,27-4,0.5188975526,25-16,0.03916610416
27-12,0.02038147509,22-9,0.5135964038,10-12,0.03911394619
22-18,0.02032723955,20-20,0.5124836618,21-6,0.03902592523
25-2,0.02028745178,30-25,0.5121829758,21-4,0.03894105886
21-6,0.02026290777,23-18,0.5120331172,23-9,0.03888555351
21-4,0.02024882788,22-13,0.5065441858,22-18,0.03879630947
10-12,0.02014726561,13-20,0.5041047924,25-2,0.03878544315
6-7,0.02014713265,15-15,0.5026515152,14-19,0.03878100106
23-9,0.02008463982,22-28,0.5010886813,15-2,0.0387801745
15-2,0.02005412077,7-12,0.5,6-7,0.03870552111
14-19,0.01999978005,12-19,0.4993026499,24-28,0.03853595337
27-9,0.01997076849,12-12,0.4987922705,6-8,0.0385273434
16-13,0.01993129696,17-24,0.4987681238,21-22,0.03844010189
24-28,0.01992491585,31-17,0.4980213429,16-13,0.0384209297
21-22,0.01990750569,6-15,0.4979096936,27-9,0.0383806033
8-25,0.01985963288,13-6,0.4975091708,10-11,0.03835941673
6-8,0.01981161371,8-4,0.4974914158,6-30,0.03804955087
10-11,0.01980536469,6-13,0.4974147658,8-25,0.03804595711
14-24,0.01975765995,31-24,0.4973856209,20-27,0.03800035323
6-30,0.01970017451,7-1,0.4973333333,24-7,0.0376797117
11-8,0.0195738017,7-4,0.4972692787,27-24,0.03733888866
24-7,0.01941409528,21-3,0.4971739601,19-31,0.03723469966
14-28,0.01936789778,24-15,0.4968081761,26-25,0.03706721105
20-0,0.01932589657,25-11,0.4964705724,29-2,0.03694034731
29-2,0.01921168295,18-19,0.4963840591,27-17,0.03683562852
27-24,0.01921124639,23-30,0.4953888275,16-12,0.03676683723
26-25,0.01917733382,16-31,0.4948346695,7-15,0.03676244224
19-15,0.01916829157,6-4,0.494663435,12-13,0.03669379486
7-15,0.01915045643,30-22,0.4942868847,12-18,0.03668797331
10-13,0.01908685067,6-14,0.4940671467,11-8,0.03668730681
12-13,0.01908310643,8-21,0.4940597195,19-15,0.03657171174
19-31,0.01907192472,21-19,0.4940320114,27-10,0.03656065383
27-17,0.01902419565,20-8,0.4935368401,10-13,0.0365255278
12-29,0.01902383419,17-0,0.4935329812,12-29,0.03650215357
16-12,0.01901333998,17-3,0.4933453917,17-30,0.03640162803
20-3,0.01899599585,31-6,0.4932081807,20-0,0.03618463618
17-30,0.0189524734,24-24,0.4929842822,20-3,0.036065574
27-10,0.01893827509,29-6,0.491964517,27-31,0.03601950105
8-29,0.01885589518,31-1,0.4918167039,11-15,0.03587351995
12-18,0.01875640555,7-13,0.491487339,21-17,0.0357080193
11-15,0.01868158385,6-7,0.4914024767,15-24,0.03565729909
27-31,0.0186640044,25-23,0.4905731523,31-27,0.03558667985
15-24,0.01866257814,27-29,0.4904737574,18-3,0.03557116141
28-23,0.01862772407,17-30,0.4901812272,10-23,0.03556404137
10-23,0.01852952209,31-26,0.4900554896,8-29,0.03554335227
18-23,0.01850976046,13-5,0.4896620327,26-24,0.03553426433
15-22,0.01840904992,30-1,0.4892356215,26-6,0.03552736984
21-17,0.01838158396,8-24,0.4892223444,20-4,0.03540841399
26-24,0.01837280918,11-16,0.4890021743,14-28,0.03524325028
26-6,0.01836268817,20-28,0.488990389,23-2,0.03503271067
31-27,0.01834386406,30-10,0.4889547187,20-16,0.0350031864
18-3,0.01824623377,27-6,0.4888310971,28-23,0.03493109565
20-4,0.01822759597,21-31,0.4885712629,23-10,0.03487804641
11-3,0.01821196793,16-30,0.4882860267,24-0,0.03485402119
20-16,0.01807660294,31-18,0.4879195543,15-22,0.03463133663
16-25,0.0180196175,19-8,0.4876903756,18-23,0.03431119149
23-2,0.01797581777,9-26,0.4872576755,21-7,0.03426113413
24-0,0.01794456732,8-6,0.4872093827,20-18,0.03424090853
16-2,0.01792305504,8-5,0.4866918827,25-8,0.03420894772
23-10,0.01792281455,17-5,0.4866142481,24-29,0.0341923695
12-5,0.01775606192,10-26,0.4865984405,14-16,0.03416814474
14-16,0.01775365339,29-21,0.4865958059,29-13,0.03415750053
5-6,0.01772747898,29-29,0.4864009508,5-6,0.03415481449
21-7,0.01769333684,8-23,0.4861111111,15-3,0.03400232829
15-3,0.01768197256,5-11,0.4849478085,16-25,0.03396584636
8-2,0.01763812223,10-22,0.4844815897,11-3,0.03386848304
20-18,0.01761710323,26-9,0.4844475475,21-9,0.03382754969
29-13,0.01760808737,23-27,0.4844115125,15-30,0.03378640669
24-29,0.01760059349,5-6,0.4843982461,9-26,0.03375657297
25-8,0.01756879179,13-24,0.4843404381,16-2,0.0336709662
26-30,0.01750951076,12-13,0.4834656893,10-14,0.03343423043
9-26,0.0174938676,26-17,0.4828768963,20-6,0.03336491711
21-9,0.01740419945,21-25,0.4828598401,25-27,0.03331570669
15-30,0.0172882434,21-10,0.4819492342,28-28,0.03328657367
11-23,0.01727804941,22-7,0.4818741463,11-23,0.03325157108
28-28,0.01723944905,22-17,0.4811729977,12-5,0.03314062086
18-26,0.01723029964,5-15,0.4806894591,8-23,0.03307465403
20-6,0.01719691779,12-30,0.4799463476,18-26,0.03306102446
10-14,0.01719630657,9-22,0.479893846,6-15,0.03302381036
8-23,0.01716165208,16-19,0.4786214371,8-2,0.03295709736
25-27,0.01712933977,11-31,0.478208441,17-3,0.03276924253
6-15,0.01710252821,12-29,0.4761165739,26-30,0.03272984509
7-28,0.01697871381,16-23,0.4759433879,28-31,0.03255612598
17-3,0.01697859625,27-21,0.4753252052,25-25,0.03249259858
28-31,0.01682629561,10-10,0.4749916876,7-28,0.03228794085
26-23,0.01669232761,22-5,0.4748925487,15-1,0.03228148436
25-25,0.01666067961,18-18,0.4746251106,24-12,0.03222542392
17-8,0.01660938426,23-28,0.4724822345,17-8,0.03222234212
15-1,0.01659551619,25-6,0.471815296,26-23,0.03217877171
24-12,0.01651944348,28-29,0.4715648884,23-16,0.03203331212
23-16,0.01651195383,10-23,0.4701814782,14-24,0.03151738997
22-11,0.01643096283,21-14,0.4690040927,19-7,0.03144572582
23-18,0.01623383771,10-15,0.4689905485,23-18,0.03140515344
6-4,0.01621197036,22-2,0.4684554459,6-4,0.03138793559
19-7,0.0161437204,31-11,0.467364532,23-0,0.03130259475
7-12,0.0161407634,23-17,0.4667102155,7-12,0.0312347334
23-0,0.01610154567,31-0,0.4662925697,25-0,0.03096609841
9-28,0.01608673787,11-15,0.4660185185,19-26,0.03093320302
13-25,0.01605115161,30-13,0.4656612762,13-25,0.03091085066
25-0,0.01593124115,15-29,0.4650015895,22-11,0.03072115424
16-23,0.01591473854,11-23,0.4649553821,16-23,0.03070324728
8-19,0.01590641707,14-16,0.4647848304,9-28,0.03059867543
26-3,0.01590499958,8-30,0.4635090887,17-20,0.03043792261
12-4,0.01585238584,26-21,0.4626523287,23-8,0.03034065454
19-26,0.01584045712,20-29,0.4625924538,8-22,0.03019058594
14-6,0.01579526929,17-7,0.462482009,8-19,0.03018751759
26-27,0.01571015529,22-8,0.4619896531,26-3,0.03000021429
17-20,0.01562048778,22-24,0.4618875039,14-6,0.0299054879
23-8,0.0156050345,27-11,0.4614322009,15-28,0.02985861014
8-22,0.0154839626,17-18,0.4610412094,12-4,0.02979978338
15-28,0.01530789704,22-16,0.4609031491,12-17,0.02965921664
28-24,0.01526322484,7-15,0.4608773139,29-12,0.02957924125
6-13,0.01523728198,8-25,0.4607617529,6-13,0.02950584879
29-12,0.01522877183,25-1,0.4603576579,26-27,0.02948740008
12-17,0.01520029868,8-15,0.4596209484,28-24,0.02945026305
22-17,0.01514624185,28-24,0.4591450705,22-17,0.02932798654
8-31,0.0151359043,15-3,0.4586390518,8-31,0.02923540048
7-1,0.01483586573,12-7,0.4549952259,7-1,0.02880823193
22-7,0.01477963596,17-12,0.4527424923,22-7,0.02864724855
28-30,0.01477828406,21-15,0.4525151165,8-21,0.02856255548
8-21,0.01473212142,20-12,0.4499264036,17-18,0.02850414391
17-18,0.01470740235,17-23,0.4494408416,28-30,0.02833511219
27-13,0.0146950559,18-16,0.4493516753,29-15,0.02830873979
12-6,0.01464492931,22-4,0.4491541478,26-21,0.02814838457
16-17,0.01457024662,28-9,0.447737721,16-17,0.02810825108
29-15,0.0145190916,20-14,0.4475759157,7-5,0.0281069166
26-21,0.0145183398,26-23,0.4470407824,27-13,0.02810341219
18-25,0.01447654414,29-30,0.4464684424,7-2,0.02793123616
12-20,0.01443985897,8-31,0.4448601964,12-6,0.02791796392
7-5,0.01432541169,10-29,0.4420020414,18-25,0.0278623877
27-15,0.01430159186,25-2,0.4410091028,15-31,0.02773000893
29-25,0.01424116641,22-18,0.4366479528,29-25,0.02767668132
26-18,0.01421407502,17-2,0.4363045799,25-9,0.02754689347
7-2,0.0141889722,16-21,0.4350617022,12-20,0.0275425865
10-10,0.01413901232,22-29,0.4341137158,27-15,0.02753552267
23-29,0.01413887411,10-13,0.4340326926,23-29,0.02752623852
15-31,0.01412765365,29-19,0.4319596549,20-5,0.0275072932
25-9,0.01409850645,28-21,0.4318795844,28-22,0.02744514449
28-22,0.01406550837,24-3,0.4308601182,10-10,0.02743217216
17-7,0.01402544623,22-6,0.430190216,17-7,0.0271459596
20-5,0.01402528499,15-27,0.4291251204,26-18,0.02706712416
23-31,0.01384395261,15-14,0.4288105126,23-31,0.02697503687
29-5,0.01375533313,21-13,0.4285486629,29-5,0.02679828526
31-22,0.01375523704,8-8,0.4284937321,21-18,0.02677594607
19-8,0.01375464879,10-8,0.4275607029,19-8,0.02675309099
25-10,0.01371920401,29-23,0.4272462183,25-10,0.02671843532
21-18,0.01370104628,13-4,0.4267024274,18-7,0.0266493839
18-7,0.01358227402,13-25,0.4266058016,31-22,0.02651135901
23-17,0.0134923019,13-21,0.4265459894,23-17,0.0261934908
27-25,0.01334315198,19-14,0.424558222,27-25,0.02614769536
29-3,0.01325997858,21-1,0.4214241143,29-3,0.02590440068
29-0,0.01325431046,18-26,0.4201926082,29-0,0.02587176228
20-28,0.01325415572,31-13,0.4200548204,20-28,0.02576354462
16-21,0.01320112438,8-7,0.4185423559,16-21,0.02551257722
20-29,0.01308131772,24-1,0.417699026,20-29,0.02543669087
16-7,0.01305897894,15-24,0.416969697,24-15,0.02532525437
24-15,0.01299399236,13-19,0.4165141657,29-7,0.02517957835
18-14,0.0129577594,23-19,0.4163071895,16-7,0.02510182846
11-6,0.01293046124,30-15,0.4146182826,28-7,0.02508251469
29-7,0.0129047145,16-17,0.4134875912,28-4,0.02507108476
28-7,0.01282651161,26-14,0.4127414945,11-6,0.02484501909
28-4,0.0128118595,18-2,0.4088369564,25-24,0.02483412514
11-27,0.0127280079,29-20,0.4084741275,27-26,0.0247169681
25-24,0.01268138665,30-14,0.4069713185,21-16,0.02469343185
7-8,0.01267621629,19-2,0.4052555956,18-14,0.02448193652
27-26,0.01260461186,8-16,0.4045999347,10-22,0.02445889774
21-16,0.01258501799,19-13,0.3986573352,7-8,0.02438669727
10-22,0.01255701054,19-15,0.3975430775,22-24,0.0243427628
22-24,0.01250611933,17-21,0.39668593,30-10,0.02428341257
30-10,0.01245283512,15-16,0.396418631,11-27,0.02420812458
29-19,0.01244044368,11-14,0.3957142395,29-19,0.02412620546
16-30,0.01221465111,27-7,0.3946192455,16-30,0.02380222726
5-11,0.01218673958,20-31,0.3939259648,26-26,0.02375767827
26-26,0.01216591291,18-8,0.3934968231,5-11,0.02375567461
12-30,0.01215653745,22-31,0.3925455258,12-30,0.02369679483
21-19,0.01215006363,18-9,0.3920209952,21-19,0.02366537113
17-4,0.01211750901,25-12,0.3898515051,10-26,0.02341676965
14-0,0.01210981459,19-3,0.3884376699,29-24,0.02328282703
10-26,0.01200536997,1-9,0.3880550992,17-4,0.0232198929
11-2,0.01197889767,27-5,0.3845613771,26-1,0.02320594041
15-12,0.01195546452,30-26,0.3827797163,26-5,0.02315412264
29-24,0.0119416629,11-1,0.3822441567,15-12,0.02303756084
26-1,0.01186599965,18-25,0.3788857706,13-24,0.02299722888
26-5,0.0118452362,29-9,0.3787818932,11-2,0.02295157074
13-24,0.01177831411,14-4,0.3763128672,24-31,0.02284920576
28-5,0.01167235564,26-7,0.3756856468,28-5,0.02277070343
24-31,0.01166995664,17-25,0.3740246269,14-0,0.02269753061
11-25,0.0115391393,27-15,0.373191224,20-7,0.02264752647
20-7,0.01150549695,31-19,0.37308088,12-19,0.02232048219
12-19,0.01143517693,16-7,0.3719343181,11-25,0.02209842258
27-14,0.01116811944,13-30,0.3696424557,27-14,0.02192072684
30-20,0.01110725443,11-8,0.3685469949,26-8,0.02162146434
23-19,0.01109635091,31-22,0.3676221687,31-3,0.02156643032
26-8,0.01106809934,18-28,0.367548934,23-19,0.02156088271
31-3,0.01105957405,20-30,0.3672956841,29-14,0.02148355443
29-14,0.01096988391,30-17,0.3666655058,23-30,0.0213766249
23-30,0.01092533958,28-30,0.3653985249,31-5,0.02108397976
31-5,0.01075309512,28-10,0.3648677249,24-1,0.02082713142
24-1,0.01068384472,20-3,0.3636473581,30-20,0.02078596947
10-17,0.01064288793,13-17,0.357605708,10-17,0.02058101636
15-26,0.01060304838,27-16,0.3565002126,24-5,0.02049212605
17-2,0.01048913358,24-20,0.3545278675,17-2,0.02043395557
30-16,0.01044672404,16-0,0.3532099537,25-11,0.02039496248
25-11,0.01044284695,27-13,0.3529905914,30-16,0.02019208606
24-5,0.0104227384,20-26,0.3506784076,23-11,0.02014534971
25-1,0.01025925494,13-31,0.350588996,25-1,0.02007115341
23-11,0.01022878218,30-21,0.3393364291,5-28,0.01965659835
5-28,0.01013280716,1-7,0.3369210937,29-18,0.01961361485
30-9,0.01009208096,26-3,0.3335373919,30-9,0.01943556415
29-18,0.01000674342,22-10,0.3326713885,22-16,0.01941041704
15-21,0.009995307191,31-25,0.3313953488,26-16,0.01915721891
22-16,0.009939584828,16-22,0.3303255064,29-29,0.0191275678
13-3,0.009889470622,14-8,0.3298788265,29-4,0.01900243765
14-21,0.009855258428,5-28,0.3297297297,25-23,0.0189741389
29-29,0.009793765989,16-25,0.3286454923,8-13,0.01883461978
13-1,0.009782285896,7-28,0.3283892698,14-21,0.0187305092
26-16,0.009762910297,18-0,0.327949588,15-21,0.01869438869
25-23,0.009755383265,24-13,0.3266598644,27-8,0.01835211247
8-13,0.009702149235,7-8,0.3233154373,27-27,0.01834857719
29-4,0.00967590669,14-10,0.3226200721,21-10,0.01796659241
27-8,0.009480817794,10-0,0.3217408585,30-5,0.01792909144
27-27,0.009303359085,8-13,0.3207797271,13-3,0.01771756123
23-25,0.009298998569,29-8,0.3182447398,28-10,0.01771119837
21-10,0.009158082518,19-23,0.3176284892,31-1,0.01770198086
30-5,0.009110431692,30-23,0.317272744,13-1,0.01768035968
28-10,0.009099773932,11-6,0.3164502165,25-29,0.0175964574
31-1,0.009043430399,28-8,0.316053754,26-7,0.01740841404
25-29,0.008942568599,15-12,0.3160306959,26-11,0.01738725693
21-2,0.00892541699,10-25,0.3147473896,25-28,0.01737289
26-7,0.008912718787,9-28,0.3128532826,15-26,0.01735828587
26-11,0.008877105881,10-17,0.3113393506,10-15,0.01726129002
25-28,0.008827156094,16-8,0.3101172464,22-5,0.01708150837
10-15,0.008795864266,8-29,0.3099272068,21-2,0.01699057223
22-5,0.008700966706,30-16,0.3091051628,25-30,0.01669999689
31-23,0.008534995445,12-10,0.3066343341,31-23,0.01654907893
25-30,0.008476655028,29-11,0.306377332,10-25,0.01650572636
10-25,0.008476547829,14-22,0.3058440652,16-31,0.01639813482
16-31,0.008337418262,15-22,0.3004603712,29-27,0.01636899802
29-27,0.008319897248,12-20,0.3002505503,30-17,0.01618941986
30-17,0.008294442192,12-6,0.2986624785,23-25,0.01610904585
25-20,0.008076833867,8-19,0.2954545455,25-20,0.01590900167
11-31,0.007932978466,30-30,0.2945686656,11-31,0.01560521347
20-21,0.00783960944,26-18,0.2941775066,20-21,0.01546601003
10-27,0.007817299211,31-16,0.293277348,10-27,0.01521246002
28-8,0.007798571525,28-20,0.2931966732,28-8,0.01520620709
12-3,0.007758907759,20-27,0.2930369417,12-3,0.01481057717
20-8,0.007483678536,14-25,0.2916753425,16-29,0.01477262387
16-29,0.00746474914,28-23,0.2915623591,20-8,0.01474120774
31-18,0.007455608394,14-30,0.2911631188,31-18,0.01466925759
13-2,0.00740911088,14-6,0.287638006,14-10,0.01447795939
14-10,0.007406682163,20-0,0.2869734905,31-11,0.01432478011
14-1,0.007344957527,27-8,0.2858156028,30-4,0.01427225556
31-11,0.00728276478,21-8,0.284816536,13-2,0.01419218724
30-4,0.007235248557,16-2,0.284460974,29-1,0.01409871312
31-0,0.00715668813,10-27,0.2821846847,31-0,0.01408182297
29-1,0.007146837132,10-30,0.2818324989,26-10,0.01357134011
17-6,0.006981365125,20-23,0.2813549895,30-22,0.01342159457
26-10,0.006966677237,11-2,0.277476964,31-13,0.01339658461
12-2,0.006948339253,17-4,0.2771895425,29-26,0.01331549457
31-13,0.006823459259,21-12,0.2766994693,12-2,0.01331422772
31-30,0.006820428574,1-27,0.276075932,31-30,0.01327239305
30-22,0.00681642037,26-30,0.2722227303,10-30,0.01320070401
17-31,0.006771626883,14-29,0.2684835051,29-8,0.01314463511
29-26,0.006768532662,11-25,0.2675139762,14-11,0.01312210953
10-30,0.006758894396,26-10,0.2625790425,25-31,0.01307589067
29-8,0.006713689505,30-9,0.2624376327,14-1,0.01302304513
14-11,0.006638931346,30-2,0.2574555964,17-6,0.01297988118
25-31,0.006623086298,11-27,0.2563323469,27-29,0.01294164376
13-11,0.006617038875,1-26,0.2562236162,30-7,0.01262766057
27-29,0.006575433805,30-19,0.255673345,31-19,0.01261958154
31-19,0.006436476308,15-11,0.2553772945,13-11,0.01237084417
30-7,0.006397161544,12-4,0.2547976637,29-30,0.01236087117
13-10,0.006271777003,12-5,0.25203141,12-12,0.0121863363
29-30,0.006270203324,31-30,0.2519269942,5-30,0.01194616664
5-30,0.006196078431,11-3,0.251581831,28-9,0.01188749755
12-12,0.006174663152,8-2,0.2507464861,9-24,0.01185116183
9-24,0.006149962402,15-20,0.2492621806,29-6,0.01183552759
28-9,0.006036224433,1-23,0.2468924185,17-31,0.01177336277
29-6,0.005995485503,26-27,0.2432096222,31-4,0.01171535412
31-4,0.00592587487,22-11,0.238975456,17-5,0.01164882173
15-10,0.005924393455,18-23,0.2370043754,13-10,0.0115755627
17-5,0.005897222168,17-27,0.2368792347,15-10,0.0111484693
14-13,0.005895428627,16-26,0.2331585066,31-8,0.01107949757
31-8,0.005590818262,27-28,0.2303921569,14-13,0.01085312695
31-17,0.005330953582,1-22,0.2298265541,31-17,0.01053454759
19-20,0.005247507434,22-27,0.2262842466,23-28,0.01036098158
23-28,0.005239129507,13-12,0.2253389736,16-22,0.01016879289
